folder,image,predicted_fuel_flow,predicted_diluent_flow,expected_fuel_flow,expected_diluent_flow
S5D900,DSC_5137.JPG,1620.4644941189763,1063.500417797557,900,500
S5D900,DSC_5138.JPG,1602.3678634637217,1011.4074998310316,900,500
S5D900,DSC_5139.JPG,1626.427927048262,996.7351440214043,900,500
S5D900,DSC_5140.JPG,1650.7287170851087,1062.161624878303,900,500
S5D900,DSC_5141.JPG,1629.5498504542375,1081.1000989641761,900,500
S5D900,DSC_5142.JPG,1707.981158999417,1074.7639700958825,900,500
S5D900,DSC_5143.JPG,1613.6296485405292,1044.6397657094349,900,500
S5D900,DSC_5144.JPG,1686.5038614261175,1017.6223045684856,900,500
S5D900,DSC_5145.JPG,1592.0861636675654,1132.4570717533716,900,500
S5D900,DSC_5146.JPG,1638.1778657363793,1103.6984797830664,900,500
S5D900,DSC_5147.JPG,1626.9396044171262,1063.5545113590779,900,500
S5D900,DSC_5148.JPG,1633.035625798082,1101.303725994796,900,500
S5D900,DSC_5149.JPG,1621.2729807166797,1087.932161241035,900,500
S5D900,DSC_5150.JPG,1658.845750018496,1013.8773482105898,900,500
S5D900,DSC_5151.JPG,1612.6091451673528,1113.2984959659152,900,500
S5D900,DSC_5152.JPG,1546.089545696048,1105.074183603123,900,500
S6D1150,DSC_5043.JPG,1593.6565170525464,1019.1761080305914,1150,600
S6D1150,DSC_5044.JPG,1630.8122921096547,1072.2738479949476,1150,600
S6D1150,DSC_5045.JPG,1540.0442786041185,1012.3885479358578,1150,600
S6D1150,DSC_5046.JPG,1689.5209615427484,1018.0740994491207,1150,600
S6D1150,DSC_5047.JPG,1673.6503377301888,998.5742114711775,1150,600
S6D1150,DSC_5048.JPG,1622.304640053666,973.2363099586764,1150,600
S6D1150,DSC_5049.JPG,1725.5234843857543,1001.362530012093,1150,600
S6D1150,DSC_5050.JPG,1658.6804421585912,977.7375534004404,1150,600
S6D1150,DSC_5051.JPG,1565.302904367596,1007.037058257567,1150,600
S6D1150,DSC_5052.JPG,1616.7376715443133,1047.0026997556342,1150,600
S6D1150,DSC_5053.JPG,1658.539460002521,1029.268602907152,1150,600
S6D1150,DSC_5054.JPG,1605.4073467920862,951.2034114131638,1150,600
S6D1150,DSC_5055.JPG,1655.918093643657,1034.73455274335,1150,600
S6D1150,DSC_5056.JPG,1676.0214612075542,976.1598624033941,1150,600
S6D1150,DSC_5057.JPG,1521.451608532465,999.101055486326,1150,600
S6D1150,DSC_5058.JPG,1557.583716983847,1063.1579464593233,1150,600
S6D1150,DSC_5059.JPG,1665.2908140626787,1069.931324040448,1150,600
S6D1150,DSC_5060.JPG,1655.5020260924284,1030.5325739757645,1150,600
S6D1150,DSC_5061.JPG,1644.1842651652587,1051.1904505528364,1150,600
S6D1150,DSC_5062.JPG,1597.6431524009859,943.8145945636097,1150,600
S6D1150,DSC_5063.JPG,1573.6263939155797,1003.0795914794107,1150,600
S6D1150,DSC_5064.JPG,1601.8100830942567,974.1129211243478,1150,600
S6D1350,DSC_5066.JPG,1648.1986656760237,825.2758275745509,1350,600
S6D1350,DSC_5067.JPG,1618.3123019761224,782.2570136396007,1350,600
S6D1350,DSC_5068.JPG,1717.183385639255,880.253568814016,1350,600
S6D1350,DSC_5069.JPG,1694.593360870549,856.9406529585322,1350,600
S6D1350,DSC_5070.JPG,1652.861769443407,814.4668657484854,1350,600
S6D1350,DSC_5071.JPG,1581.3018752270546,849.9759705423985,1350,600
S6D1350,DSC_5072.JPG,1632.8447269413227,864.8758375078341,1350,600
S6D1350,DSC_5073.JPG,1634.5054151195181,816.4849192474085,1350,600
S6D1350,DSC_5074.JPG,1621.175749185455,819.5156019451633,1350,600
S6D1350,DSC_5075.JPG,1574.8224878820765,783.3265888125461,1350,600
S6D1350,DSC_5076.JPG,1570.4623950614332,829.9138504504463,1350,600
S6D1350,DSC_5077.JPG,1695.7602818134728,884.2872666028197,1350,600
S6D1350,DSC_5078.JPG,1602.6121719427465,837.3516015176283,1350,600
S6D1350,DSC_5079.JPG,1676.8635939069718,865.5788492521206,1350,600
S6D1350,DSC_5080.JPG,1685.3471519324958,915.6366674293276,1350,600
S6D1350,DSC_5081.JPG,1562.3778053103397,788.9862072360211,1350,600
S6D1350,DSC_5082.JPG,1616.1620523253696,812.6919378073726,1350,600
S6D1350,DSC_5083.JPG,1672.390052419214,843.6024762055586,1350,600
S6D1350,DSC_5084.JPG,1623.8440204912004,783.4334349607434,1350,600
S6D1350,DSC_5085.JPG,1630.8733825951822,732.6355464039307,1350,600
S6D1350,DSC_5086.JPG,1705.851759951951,849.3090742053628,1350,600
S7D1150,DSC_5021.JPG,1581.426212542552,1105.8201292708181,1150,700
S7D1150,DSC_5022.JPG,1619.3047372294895,1042.4586587607846,1150,700
S7D1150,DSC_5023.JPG,1632.9991105107874,1088.1189885837666,1150,700
S7D1150,DSC_5024.JPG,1585.5645404851603,1085.5299070849906,1150,700
S7D1150,DSC_5025.JPG,1681.7182737301955,1101.9562579911253,1150,700
S7D1150,DSC_5026.JPG,1639.3463549298067,1045.4368047915414,1150,700
S7D1150,DSC_5027.JPG,1620.2470241087976,1104.7312576971453,1150,700
S7D1150,DSC_5028.JPG,1566.0636662511097,1114.2402694176708,1150,700
S7D1150,DSC_5029.JPG,1683.1117534078076,1062.6111923769931,1150,700
S7D1150,DSC_5030.JPG,1678.6303528465032,1028.0905451421313,1150,700
S7D1150,DSC_5031.JPG,1614.5894713118323,1049.7623805286858,1150,700
